"都道府県コード","都道府県名","都道府県名カナ","都道府県名ローマ字","市区町村コード","市区町村名","市区町村名カナ","市区町村名ローマ字","大字町丁目コード","大字町丁目名","緯度","経度"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030015002","新橋二丁目","35.666859","139.757097"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030017004","高輪四丁目","35.626603","139.734492"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030004002","港南二丁目","35.630932","139.739703"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030017003","高輪三丁目","35.631804","139.734338"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030018002","白金台二丁目","35.633709","139.728821"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030019005","三田五丁目","35.646225","139.737808"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030018001","白金台一丁目","35.638635","139.729889"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030017002","高輪二丁目","35.637421","139.736881"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030019003","三田三丁目","35.644006","139.742887"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030018004","白金台四丁目","35.639386","139.725425"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020002","白金二丁目","35.641430","139.731075"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030021001","南麻布一丁目","35.650887","139.734381"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020003","白金三丁目","35.645460","139.729791"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020005","白金五丁目","35.645681","139.725504"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020006","白金六丁目","35.642922","139.723219"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020004","白金四丁目","35.642283","139.727212"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030018005","白金台五丁目","35.639007","139.719776"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030018003","白金台三丁目","35.636067","139.725289"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030017001","高輪一丁目","35.640556","139.735173"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030019004","三田四丁目","35.643982","139.739059"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030001004","虎ノ門四丁目","35.664891","139.744312"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030001005","虎ノ門五丁目","35.662526","139.743383"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030019002","三田二丁目","35.649890","139.741212"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030019001","三田一丁目","35.653812","139.741333"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030022000","麻布永坂町","35.658675","139.737656"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030023001","東麻布一丁目","35.656698","139.743777"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030024003","麻布台三丁目","35.660300","139.738665"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030025003","麻布十番三丁目","35.653226","139.735398"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030026001","元麻布一丁目","35.654041","139.732684"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030025001","麻布十番一丁目","35.656675","139.735092"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030023002","東麻布二丁目","35.656770","139.740858"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030023003","東麻布三丁目","35.656688","139.738027"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030024002","麻布台二丁目","35.658810","139.741804"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030027000","麻布狸穴町","35.658991","139.739569"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030024001","麻布台一丁目","35.661402","139.740223"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028005","六本木五丁目","35.660125","139.734790"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028001","六本木一丁目","35.665061","139.740792"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028002","六本木二丁目","35.667062","139.737154"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028003","六本木三丁目","35.664291","139.736423"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030026002","元麻布二丁目","35.653847","139.728961"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030021002","南麻布二丁目","35.648408","139.735246"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030029004","西麻布四丁目","35.657685","139.721105"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030020001","白金一丁目","35.645080","139.733413"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030021003","南麻布三丁目","35.649553","139.730211"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030025002","麻布十番二丁目","35.655129","139.735594"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030025004","麻布十番四丁目","35.654007","139.737236"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030029003","西麻布三丁目","35.657912","139.725535"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030026003","元麻布三丁目","35.656839","139.729908"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030021005","南麻布五丁目","35.653403","139.724530"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030021004","南麻布四丁目","35.648895","139.725718"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028006","六本木六丁目","35.660329","139.730276"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030029001","西麻布一丁目","35.661226","139.725358"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028004","六本木四丁目","35.665258","139.734204"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030008009","赤坂九丁目","35.666781","139.730545"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030028007","六本木七丁目","35.664226","139.727698"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030007005","南青山五丁目","35.662407","139.713257"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030029002","西麻布二丁目","35.661899","139.720294"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030007007","南青山七丁目","35.657935","139.716144"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030009003","北青山三丁目","35.666180","139.712093"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030007003","南青山三丁目","35.666489","139.715334"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030007006","南青山六丁目","35.660852","139.716026"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030007004","南青山四丁目","35.664851","139.718008"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030009001","北青山一丁目","35.675375","139.720943"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030008005","赤坂五丁目","35.672213","139.734274"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030008003","赤坂三丁目","35.675639","139.737141"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030030001","元赤坂一丁目","35.677407","139.733863"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030008004","赤坂四丁目","35.674826","139.733574"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030030002","元赤坂二丁目","35.676738","139.726932"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030005003","芝浦三丁目","35.643973","139.747836"
"13","東京都","トウキョウト","TOKYO TO","13103","港区","ミナトク","MINATO KU","131030005001","芝浦一丁目","35.648744","139.755448"
